Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Kyle Tucker","HOU",44,196,13,31,29,6,0.178571428,0.158163265,0.3125,0.284482758,0.2875,0.415384615,0.6,0.43567327125785277,0.435,187.6919113581148,0.5649658851325512,20.22869692666255,0.017157316207885742,2.779018557480866,"Kyle Tucker",18345,663656
"Bobby Witt Jr.","KCR",46,200,5,40,23,15,0.085,0.175,0.20670391,0.333333333,0.290502793,0.355,0.497206703,0.36628551826332556,0.401,135.1516900166253,2.427181107457727,10.470337684739649,8.247327089309692,2.6327602321252415,"Bobby Witt Jr.",25764,677951
"Gunnar Henderson","BAL",42,189,13,32,29,6,0.079365079,0.248677248,0.305389222,0.284403669,0.263473053,0.338624338,0.568862275,0.3867079533161001,0.37,155.55536210359531,1.3845956260338426,13.397225736313683,4.726043105125427,2.533446190248877,"Gunnar Henderson",26289,683002
"Aaron Judge","NYY",46,206,12,27,30,2,0.17961165,0.233009708,0.309090909,0.301886792,0.266666666,0.404878048,0.575757575,0.41702494633138476,0.466,176.10259786862034,-0.3201062064617872,17.615539664758227,-0.4880480170249939,2.4867794476784595,"Aaron Judge",15640,592450
"Juan Soto","NYY",46,210,9,30,34,4,0.142857142,0.142857142,0.215909091,0.314285714,0.301136363,0.4,0.517045454,0.39937170488493784,0.446,164.00140240225397,-0.8259965828619897,14.550560432338806,0.360029935836792,2.2685153309180546,"Juan Soto",20123,665742
"Marcus Semien","TEX",46,210,9,34,33,1,0.061904761,0.133333333,0.198979591,0.28125,0.275510204,0.319047619,0.474489795,0.3457295693102337,0.355,122.80524838088829,0.11389778321608901,5.592937129425709,7.651557207107544,2.0943226403840125,"Marcus Semien",12533,543760
"Anthony Volpe","NYY",45,204,6,29,23,9,0.093137254,0.225490196,0.155555555,0.333333333,0.272222222,0.346534653,0.427777777,0.3433326240813378,0.315,125.58693486001391,1.5216966830193996,7.493407226118732,5.752900123596191,2.074238134241808,"Anthony Volpe",27647,683011
"Salvador Perez","KCR",44,176,8,18,34,0,0.079545454,0.15340909,0.221518988,0.365853658,0.335443037,0.40340909,0.556962025,0.41271216508954073,0.411,166.97688936011838,-1.4131831005215645,12.07296607115643,0.7020623683929443,1.9303529829351933,"Salvador Perez",7304,521692
"Steven Kwan","CLE",32,145,3,28,11,3,0.075862068,0.075862068,0.142857143,0.369747899,0.353383458,0.406896551,0.496240601,0.39776073406482565,0.355,162.9422219719066,0.7346847727894783,11.176124605182032,2.460219979286194,1.9156554949667997,"Steven Kwan",24610,680757
"Jarren Duran","BOS",45,205,2,26,18,10,0.087804878,0.214634146,0.169398907,0.347826086,0.273224043,0.346341463,0.44262295,0.3466015891330998,0.356,119.6811611735187,2.6867153765633702,7.30259948876752,3.6953219175338745,1.8425452218446245,"Jarren Duran",24617,680776
"Ryan Jeffers","MIN",38,152,10,22,31,1,0.065789473,0.203947368,0.320610687,0.279569892,0.27480916,0.355263157,0.595419847,0.4046557184896971,0.365,166.86388106741242,0.17064672708511353,11.798123671922037,-0.0811521653085947,1.7386354010429375,"Ryan Jeffers",24618,680777
"Jordan Westburg","BAL",40,163,7,22,29,5,0.061349693,0.202453987,0.228187919,0.336363636,0.295302013,0.345679012,0.523489932,0.37645935349994236,0.381,148.53000588172972,-0.118365160189569,8.931628316429057,2.393441677093506,1.7348306535634608,"Jordan Westburg",27815,676059
"Isaac Paredes","TBR",42,181,8,19,24,0,0.110497237,0.160220994,0.193548387,0.325,0.303225806,0.392265193,0.496774193,0.3887369996971554,0.314,159.19575533984133,-0.39051179960370064,11.867483746518989,-1.2232309579849243,1.7244724320109692,"Isaac Paredes",20036,670623
"Jose Altuve","HOU",44,198,7,29,14,7,0.08080808,0.161616161,0.172222222,0.34751773,0.311111111,0.373737373,0.483333333,0.3761429744323498,0.34,146.88423531507215,0.09647973999381065,10.716915713690527,-1.606649398803711,1.6215351499501225,"Jose Altuve",5417,514888
"Adley Rutschman","BAL",41,184,9,26,28,1,0.048913043,0.16847826,0.196531792,0.343283582,0.317919075,0.353260869,0.514450867,0.3763587539964686,0.36,148.46104550076805,-0.21425087377429008,9.987175986298219,-0.8729467913508415,1.5746433364522925,"Adley Rutschman",26288,668939
"Jeremy Peña","HOU",45,184,5,28,20,6,0.038043478,0.141304347,0.13372093,0.359154929,0.325581395,0.364130434,0.459302325,0.362970890234346,0.348,137.8548473659507,0.8110411330126226,8.779780823055706,-0.4592020511627197,1.49166606508874,"Jeremy Pena",21636,665161
"Riley Greene","DET",44,188,9,30,20,0,0.143617021,0.260638297,0.226415095,0.294117647,0.245283018,0.356382978,0.471698113,0.36271648770347636,0.376,136.550258224768,0.33072139555588365,8.192098265933485,-0.2215287685394287,1.4685881411536705,"Riley Greene",25976,682985
"Daulton Varsho","TOR",41,151,7,23,19,5,0.119205298,0.238410596,0.218045113,0.233333333,0.210526315,0.304635761,0.428571428,0.3243400075577742,0.284,111.9097247559983,0.8546030051074922,2.9120515836662237,6.093413233757019,1.4517645415898535,"Daulton Varsho",19918,662139
"Colton Cowser","BAL",40,132,6,14,22,3,0.113636363,0.303030303,0.245614035,0.342857142,0.263157894,0.348484848,0.508771929,0.36847607006553473,0.368,143.0575110089756,0.45589517103508115,6.958287510869326,2.537329316139221,1.4388094381128678,"Colton Cowser",29591,681297
"Cal Raleigh","SEA",40,154,10,21,24,0,0.103896103,0.337662337,0.240875912,0.276315789,0.226277372,0.305194805,0.467153284,0.3373858642268491,0.336,123.70337923435744,-0.9982340885326266,3.1779660511162575,5.35873281955719,1.412891430165006,"Cal Raleigh",21534,663728
"Josh Rojas","SEA",36,130,3,12,9,4,0.092307692,0.184615384,0.146551724,0.382022471,0.318965517,0.3828125,0.465517241,0.37463316693902016,0.357,149.23619098919923,-0.43703102692961693,6.885784905535139,2.1628710627555847,1.3853210300463448,"Josh Rojas",19734,668942
"Shea Langeliers","OAK",41,151,10,18,26,0,0.066225165,0.225165562,0.296296296,0.212765957,0.222222222,0.284768211,0.518518518,0.3374985484468857,0.377,124.13353605672552,-0.3345246152020991,3.834632143059503,3.8619555234909058,1.3149195889826955,"Shea Langeliers",25816,669127
"Josh Smith","TEX",44,152,2,22,18,1,0.092105263,0.203947368,0.151515151,0.353535353,0.28030303,0.375,0.431818181,0.3607537589575115,0.315,133.1042439617854,1.0395499849691987,6.796302768341736,0.15132290124893188,1.2399935654823613,"Josh Smith",26396,669701
"Rafael Devers","BOS",34,151,7,19,18,0,0.125827814,0.238410596,0.238461539,0.344827586,0.284615384,0.38410596,0.523076923,0.39283113151588694,0.375,151.37124655482828,-0.27089703688398004,8.60367398540511,-1.8863914236426353,1.2125318587336913,"Rafael Devers",17350,646240
"Brent Rooker","OAK",35,141,10,21,28,2,0.106382978,0.326241134,0.296,0.347826086,0.272,0.354609929,0.568,0.3964437995638166,0.395,164.5401666318485,0.6863987296819687,11.097568126553258,-4.11195969581604,1.2067956081592457,"Brent Rooker",19627,667670
"Connor Wong","BOS",30,113,5,11,16,0,0.026548672,0.194690265,0.190476191,0.4125,0.361904761,0.38938053,0.552380952,0.40801233738924547,0.314,161.7778758555132,-0.04801806341856718,7.938578241901725,-0.3943653106689453,1.1705862203334392,"Connor Wong",19896,657136
"Josh Naylor","CLE",43,181,12,24,33,3,0.104972375,0.138121546,0.282051282,0.231404958,0.256410256,0.348066298,0.538461538,0.37400441752238706,0.385,146.65740363341482,-1.5942192981019616,8.067389758977104,-3.1803685426712036,1.122545749186218,"Josh Naylor",18839,647304
"Wilyer Abreu","BOS",39,138,4,20,15,5,0.115942028,0.268115942,0.198347108,0.345679012,0.264462809,0.347826086,0.462809917,0.355366924966591,0.317,125.68974846731408,1.3865482159890234,5.442467057630772,0.5672293901443481,1.0946256039699223,"Wilyer Abreu",23772,677800
"Edouard Julien","MIN",44,160,7,21,15,5,0.13125,0.3375,0.195652174,0.298701298,0.217391304,0.325,0.413043478,0.3300423946231604,0.311,115.71687674849802,-0.1239479542709887,2.753030092229146,2.537698805332184,1.0937947494893225,"Edouard Julien",27534,666397
"Willi Castro","MIN",44,165,3,19,14,6,0.066666666,0.26060606,0.166666666,0.342857142,0.26,0.321212121,0.426666666,0.3287607420574535,0.319,114.8383112870422,0.5022417199797928,3.303278037105345,1.817948341369629,1.0929680713518088,"Willi Castro",17338,650489
"Andrés Giménez","CLE",42,185,2,23,23,7,0.048648648,0.135135135,0.096969697,0.29787234,0.266666666,0.326086956,0.363636363,0.3087200234117715,0.313,101.9053270002103,-0.31110062962397933,0.09216533375896718,4.378389060497284,1.0925195949004995,"Andres Gimenez",19950,665926
"Danny Jansen","TOR",20,69,4,12,7,0,0.115942028,0.115942028,0.316666666,0.285714285,0.3,0.376811594,0.616666666,0.42190806502881256,0.403,178.792066920323,0.10992577439174056,6.329804283530134,1.577511727809906,1.0598727252632256,"Danny Jansen",16535,643376
"Jake Meyers","HOU",37,98,4,10,15,2,0.071428571,0.204081632,0.229885057,0.301587301,0.264367816,0.340206185,0.494252873,0.3645954248831444,0.379,138.9684565230356,0.307727815117687,4.676803801175658,2.2611900568008423,1.0565200129378138,"Jake Meyers",20308,676694
"Alex Verdugo","NYY",43,176,5,21,21,1,0.107954545,0.102272727,0.157894736,0.2481203,0.25,0.329545454,0.407894736,0.32556952197443356,0.335,113.41043054284579,-0.6575066316872835,2.042754137140474,2.202420234680176,1.038544706760527,"Alex Verdugo",17027,657077
"Mike Trout","LAA",29,126,10,17,14,6,0.126984126,0.214285714,0.321100917,0.194444444,0.220183486,0.325396825,0.541284403,0.3714410624504089,0.407,140.9219616955227,1.210527669172734,7.109512881061535,-1.3228856176137924,1.0307552876001354,"Mike Trout",10155,545361
"Max Kepler","MIN",28,105,3,13,17,1,0.076190476,0.161904761,0.2,0.342105263,0.305263157,0.35576923,0.505263157,0.37379610767731297,0.31,145.70979536652175,0.1779208742082119,5.668888636046894,0.659949779510498,1.0164850211732288,"Max Kepler",12144,596146
"Kevin Pillar","- - -",28,71,4,10,18,6,0.070422535,0.225352112,0.274193548,0.372093023,0.322580645,0.385714285,0.596774193,0.42088955555643354,0.34,173.98068014547286,1.286247558426112,7.295590460771905,0.0637974739074707,1.0093440916077927,"Kevin Pillar",12434,607680
"Ben Rortvedt","TBR",32,93,0,15,8,1,0.17204301,0.258064516,0.051948052,0.415094339,0.285714285,0.40860215,0.337662337,0.34714068520453667,0.329,130.6817210259369,-0.5778585476800799,2.6866137170175937,3.9163056015968323,1.0045924477882562,"Ben Rortvedt",20287,666163
"David Fry","CLE",30,95,4,15,14,1,0.157894736,0.221052631,0.226666667,0.403846153,0.333333333,0.452631578,0.56,0.429936808736428,0.345,184.99873607571314,-0.8934861370362341,8.34469324586749,-1.8853230774402618,0.9963422013685483,"David Fry",24934,681807
"Davis Schneider","TOR",36,119,5,17,17,2,0.12605042,0.260504201,0.23,0.323076923,0.26,0.369747899,0.49,0.3771537266859487,0.371,148.1132254226957,-0.3606859245337546,6.189622529233805,-0.6996281296014786,0.9760888341174544,"Davis Schneider",23565,676914
"Tyler O'Neill","BOS",35,148,10,26,16,1,0.135135135,0.317567567,0.285714286,0.318840579,0.253968253,0.364864864,0.539682539,0.38507698890235686,0.364,146.0558263967193,-0.5414119763299823,7.2568283044075255,-2.7184404134750366,0.974588317433775,"Tyler O'Neill",15711,641933
"Abraham Toro","OAK",44,169,4,23,17,2,0.047337278,0.177514792,0.152866242,0.341463414,0.29299363,0.343195266,0.445859872,0.3484262231538987,0.326,131.6243942100902,-0.31097830506041646,5.803497592863821,-1.9612860679626465,0.9727613035405148,"Abraham Toro",19844,647351
"Mark Canha","DET",41,169,6,20,20,1,0.124260355,0.213017751,0.183098591,0.29,0.246478873,0.366863905,0.429577464,0.3557806515267917,0.324,131.79578242204514,0.10643322532996535,6.254046488170189,-2.602482259273529,0.9528288597897602,"Mark Canha",11445,592192
"Jonah Heim","TEX",40,157,5,19,27,1,0.063694267,0.191082802,0.124137932,0.315315315,0.275862068,0.324840764,0.4,0.321885949107492,0.301,106.46058388544786,-1.5389854875393212,-0.3785480268882193,4.338981449604034,0.9445734512811486,"Jonah Heim",16930,641680
"Maikel Garcia","KCR",44,197,5,21,28,10,0.065989847,0.187817258,0.143646409,0.269503546,0.23756906,0.285714285,0.381215469,0.2938448601231283,0.321,85.49403555548459,3.0241262004710734,-0.2452368693384246,2.8490695357322693,0.9378993232523246,"Maikel Garcia",22715,672580
"Jose Trevino","NYY",28,87,4,13,14,0,0.057471264,0.103448275,0.15,0.279411764,0.2875,0.333333333,0.4375,0.3395252015398837,0.304,122.97696860894565,-0.9833944826386869,1.3035851734162938,4.8136255890131,0.9335368738033102,"Jose Trevino",16725,624431
"Richie Palacios","TBR",38,133,4,19,11,6,0.127819548,0.270676691,0.133928571,0.342465753,0.258928571,0.363636363,0.392857142,0.3362858125796685,0.344,123.24076828110957,0.8065591542981565,4.342886337570604,0.12294220924377441,0.9163169875738768,"Richie Palacios",24589,680700
"José Ramírez","CLE",44,193,10,28,38,7,0.067357512,0.113989637,0.214689266,0.231292517,0.24858757,0.300518134,0.463276836,0.328204493560092,0.302,115.26181920809677,0.8641717969439924,4.234047880705383,-2.303096294403076,0.8540326175841442,"Jose Ramirez",13510,608070
"Ryan O'Hearn","BAL",31,109,5,14,13,0,0.119266055,0.091743119,0.208333334,0.283950617,0.291666666,0.376146788,0.5,0.37869758360853817,0.44,150.06429974639988,-0.022426758892834187,6.220740379671267,-1.7112934589385986,0.839781113189012,"Ryan O'Hearn",16442,656811
"Luis Rengifo","LAA",29,104,2,15,11,10,0.067307692,0.144230769,0.136842105,0.371794871,0.326315789,0.378640776,0.463157894,0.37225081851181474,0.279,141.4770448177285,2.348217154853046,7.283266085659982,-2.719245433807373,0.8285918244101698,"Luis Rengifo",19858,650859
