Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Mookie Betts","LAD",47,218,8,40,29,8,0.151376146,0.096330275,0.221621622,0.352564102,0.34054054,0.440366972,0.562162162,0.43654888321500307,0.403,188.27322169499453,0.9286908293142915,23.15429190529364,-0.4863400459289551,3.129800958157926,"Mookie Betts",13611,605141
"Shohei Ohtani","LAD",45,205,13,36,32,11,0.112195121,0.195121951,0.318435754,0.3984375,0.357541899,0.426470588,0.675977653,0.4685385282717499,0.492,209.99500664963938,1.2317705363966525,27.27500227998781,-4.861110687255859,3.057927360496335,"Shohei Ohtani",19755,660271
"William Contreras","MIL",44,200,6,39,34,3,0.115,0.185,0.190751445,0.416666666,0.352601156,0.43,0.543352601,0.42260883231857915,0.386,176.17094256289613,-1.8557797870598733,15.739143169468171,1.846531867980957,2.535703108916428,"William Contreras",20503,661388
"Alec Bohm","PHI",45,189,4,22,37,2,0.084656084,0.148148148,0.189349113,0.376811594,0.331360946,0.396825396,0.520710059,0.39897378232884917,0.366,159.81831503795723,-0.47249086992815137,12.585129077657337,2.0902271792292595,2.1930848960869165,"Alec Bohm",21618,664761
"Elly De La Cruz","CIN",45,184,9,35,22,30,0.119565217,0.309782608,0.232704403,0.365591397,0.270440251,0.369565217,0.503144654,0.3829055247099503,0.361,144.27124535243053,3.6046689031645656,13.01289197301275,0.3308734893798828,2.036437800622105,"Elly De La Cruz",26668,682829
"Ketel Marte","ARI",44,197,9,30,24,1,0.071065989,0.203045685,0.231638418,0.315789473,0.288135593,0.33502538,0.519774011,0.3626797639406644,0.359,135.47849255274627,0.1224190378561616,8.194758728617062,3.8177252113819122,1.9425616777382715,"Ketel Marte",13613,606466
"Will Smith","LAD",39,172,4,25,30,0,0.098837209,0.15116279,0.161073826,0.349593495,0.315436241,0.38372093,0.476510067,0.37000369778751624,0.373,143.08734341911259,-1.1607091748155653,7.398747720730789,4.979849576950073,1.8937023489038636,"Will Smith",19197,669257
"Jurickson Profar","SDP",47,182,7,25,30,3,0.126373626,0.142857142,0.184713376,0.352,0.324840764,0.412087912,0.50955414,0.40497143255485285,0.369,169.70422787620475,-0.25024036318063736,14.401815065622692,-3.2669020891189575,1.7985281973595317,"Jurickson Profar",10815,595777
"Willson Contreras","STL",31,128,6,20,12,2,0.140625,0.2734375,0.271028038,0.363636363,0.280373831,0.3984375,0.551401869,0.41095358978106283,0.388,170.85099490998232,0.2327222996391356,10.706997175721819,1.8930977880954742,1.763499127882053,"Willson Contreras",11609,575929
"Brice Turang","MIL",41,160,2,19,15,16,0.08125,0.14375,0.111111111,0.35,0.305555555,0.364779874,0.416666666,0.34755779962119815,0.312,125.20937703178069,3.6451610354706645,8.303704377401809,2.8346874117851257,1.7222113548874245,"Brice Turang",22186,668930
