year,pop,ALpop
1871,466929,466929
1872,493244,493244
1873,519490,519490
1874,545599,545599
1875,571501,571501
1876,597127,597127
1877,622410,622410
1878,647280,647280
1879,671669,671669
1880,695507,695507
1881,718725,718725
1882,741256,741256
1883,763040,763040
1884,784213,784213
1885,805088,805088
1886,825985,825985
1887,847221,847221
1888,869117,869117
1889,891991,891991
1890,916161,916161
1891,941948,941948
1892,969670,969670
1893,999646,999646
1894,1032195,1032195
1895,1067472,1067472
1896,1105115,1105115
1897,1144657,1144657
1898,1185632,1185632
1899,1227573,1227573
1900,1270015,1270015
1901,1312492,1312492
1902,1354536,1354536
1903,1395682,1395682
1904,1435464,1435464
1905,1473415,1473415
1906,1509146,1509146
1907,1543349,1543349
1908,1577513,1577513
1909,1613148,1613148
1910,1651762,1651762
1911,1694866,1694866
1912,1743968,1743968
1913,1800576,1800576
1914,1866201,1866201
1915,1942351,1942351
1916,2030536,2030536
1917,2132262,2132262
1918,1910996,1910996
1919,2020530,2020530
1920,2517182,2517182
1921,2666826,2666826
1922,2824356,2824356
1923,2988104,2988104
1924,3156399,3156399
1925,3327573,3327573
1926,3499956,3499956
1927,3671880,3671880
1928,3841674,3841674
1929,4007734,4007734
1930,4169136,4169136
1931,4325366,4325366
1932,4475917,4475917
1933,4620281,4620281
1934,4757949,4757949
1935,4888414,4888414
1936,5011168,5011168
1937,5125704,5125704
1938,5231512,5231512
1939,5328086,5328086
1940,5414921,5414921
1941,5395865,5395865
1942,5309949,5309949
1943,4355877,4355877
1944,3319284,3319284
1945,3695259,3695259
1946,4467575,4467575
1947,5542609,5542609
1948,5840212,5742121
1949,5874937,5676046
1950,5908976,5606548
1951,5943353,5636751
1952,5082342,4818060
1953,5116019,4847841
1954,6065000,5744492
1955,6120477,5637862
1956,6188068,5536531
1957,6270563,5441804
1958,6370750,5354642
1959,6491421,5275655
1960,6635365,5390210
1961,6805372,5507883
1962,7004232,5646823
1963,7234693,5808808
1964,7496444,5993092
1965,7784102,6194848
1966,8091802,6421131
1967,8413679,6656501
1968,8743869,6896108
1969,9076510,7488121
1970,9405735,8114752
1971,9725682,8772565
1972,10030486,9457315
1973,10314283,10166936
1974,10571209,10571209
1975,10795954,10795954
1976,10986739,10986739
1977,11143176,11143176
1978,11264881,11264881
1979,11351469,11351469
1980,11402554,11402554
1981,11417753,11417753
1982,11396679,11396679
1983,11338949,11338949
1984,11244177,11244177
1985,11111980,11111980
1986,10942094,10942094
1987,10739529,10739529
1988,10516419,10516419
1989,10285406,10285406
1990,10059133,10059133
1991,9850240,9850240
1992,9671369,9671369
1993,9535161,9535161
1994,9454259,9454259
1995,9441303,9441303
1996,9508935,9508935
1997,9669798,9669798
1998,9932646,9932646
1999,10286646,10286646
2000,10714803,10714803
2001,11200119,11200119
2002,11725596,11725596
2003,12274237,12274237
2004,12829045,12829045
2005,13373022,13373022
2006,13889172,13889172
2007,14360495,14360495
2008,14769996,14769996
2009,15101080,15101080
2010,15348376,15348376
2011,15518917,15518917
2012,15620378,15620378
2013,15660436,15660436
2014,15646765,15646765
2015,15587041,15587041
2016,15488940,15488940
2017,15360137,15360137
2018,15208307,15208307
2019,15041126,15041126
2020,14866270,14866270
