Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",6,0,0,9,9,55,10.8,1.309090909090909,0.4909090909090909,0.24427480916030533,0.77889447,0.447761194,0.058823529,96.89538261217949,1.8,2.08,1.926475763320923,2.5205789889801635,2.066075086593628,"Tarik Skubal",22267,669373
"Tanner Houck","BOS",3,5,0,9,9,58,8.844827586206897,1.706896551724138,0.15517241379310345,0.2919254658385093,0.7028754,0.55625,0.028571428,,2.1724137931034484,3.39,2.2126826598726472,2.8366342181532547,1.9180450439453125,"Tanner Houck",19879,656557
"Kutter Crawford","BOS",2,2,0,9,9,52.1,8.942675376519741,2.7515924235445355,0.34394905294306694,0.27972027972027974,0.78671329,0.323943661,0.03030303,93.21837001459144,2.2356688441299353,3.03,2.6678770260635005,3.9434839169836815,1.7838600873947144,"Kutter Crawford",20531,676710
"Jon Gray","TEX",2,1,0,10,9,52,9.000000330118045,2.423077011954858,0.34615385885069405,0.30405405405405406,0.79037801,0.448979591,0.035714285,94.7586135204656,2.0769231531041643,3.71,2.434168045619535,3.4476816329573072,1.6942737102508545,"Jon Gray",14916,592351
"Yusei Kikuchi","TOR",2,3,0,9,9,52,9.51923076923077,1.7307692307692308,0.6923076923076923,0.30714285714285716,0.81712062,0.44055944,0.075471698,95.63605737433862,2.5961538461538463,2.73,2.5880142248593847,3.0204466919772903,1.6680749654769897,"Yusei Kikuchi",20633,579328
"Cole Ragans","KCR",3,3,0,10,10,56,10.285714285714286,2.892857142857143,0.48214285714285715,0.3150684931506849,0.70532915,0.427586206,0.057692307,96.45817764945652,3.6964285714285716,3.46,2.555047191892352,3.1636379570833277,1.5919113159179688,"Cole Ragans",21846,666142
"Reese Olson","DET",0,4,0,8,8,47.1,7.795774857313528,2.8521127526756813,0,0.24615384615384617,0.72,0.553846153,0,94.50208400451031,2.091549351962166,3.31,2.5349264516548558,3.7522847171093265,1.3610605001449585,"Reese Olson",24968,681857
"Mason Miller","OAK",0,0,8,14,0,18.1,18.654546748389972,2.454545624788154,0,0.2916666666666667,0.83333333,0.416666666,0,101.3077059659091,0.9818182499152617,0.74,-0.20079719472524182,0.6424461274224016,1.3363542556762695,"Mason Miller",31757,695243
"Seth Lugo","KCR",6,1,0,9,9,59.2,7.240223772282255,1.8100559430705638,0.7541899762794015,0.24096385542168675,0.90196078,0.411764705,0.072463768,92.68127725290698,1.6592179478146833,3.53,3.26055398132615,3.796413925748659,1.2810132503509521,"Seth Lugo",12447,607625
"Garrett Crochet","CHW",4,4,0,10,10,51.2,12.193548987286425,2.090322683534816,1.3935484556898772,0.27586206896551724,0.70093458,0.451612903,0.16,96.94310806997743,4.180645367069632,2.19,3.2426048012950797,2.5897713234547,1.2715574502944946,"Garrett Crochet",27463,676979
"Luis Castillo","SEA",4,5,0,9,9,54.1,10.60122724196609,1.8220859322129217,1.159509229590041,0.30935251798561153,0.76171875,0.351724137,0.111111111,95.64378720238095,3.3128835131144028,3.08,3.052856129696159,3.007590043075361,1.2612396478652954,"Luis Castillo",15689,622491
"Zack Littell","TBR",2,2,0,9,9,49.2,8.69798702255285,1.4496645037588083,0.7248322518794041,0.35333333333333333,0.76547231,0.352941176,0.066666666,93.14140833890374,3.44295319642717,3.29,2.8445965542567104,3.4954219506591406,1.2518216371536255,"Zack Littell",15823,641793
"George Kirby","SEA",4,3,0,9,9,50.1,9.119205528390784,0.894039757685371,0.894039757685371,0.2733812949640288,0.70454545,0.349650349,0.079365079,95.85292486496914,3.576159030741484,3.06,2.8681976111007046,3.335890523932448,1.2321631908416748,"George Kirby",25436,669923
"Joe Ryan","MIN",2,3,0,9,9,53,9.849056603773585,1.1886792452830188,1.1886792452830188,0.28776978417266186,0.68584071,0.368055555,0.116666666,93.74881565824468,3.5660377358490565,2.77,3.1076078387926214,2.981651732494247,1.2156884670257568,"Joe Ryan",21390,657746
"Nestor Cortes","NYY",2,4,0,10,10,60.2,8.456044310519221,1.7802198548461519,1.0384615819935885,0.26785714285714285,0.72463768,0.294797687,0.076923076,91.69478326612904,3.5604397096923037,2.69,3.3902120381129457,3.998320222759342,1.1753606796264648,"Nestor Cortes",17874,641482
"Patrick Sandoval","LAA",2,6,0,9,9,45,9.6,3.4,0.4,0.373134328358209,0.61011905,0.47368421,0.048780487,93.79496402877697,5,3.51,2.7709202077653674,3.4736229414741198,1.1552294492721558,"Patrick Sandoval",19447,663776
"Pablo López","MIN",4,3,0,9,9,50.1,10.370861189150304,1.4304636122965937,1.2516556607595193,0.296875,0.70135747,0.402985074,0.120689655,94.89169143021472,3.9337749338156325,2.88,3.1662108636624953,2.977737656662307,1.104349136352539,"Pablo Lopez",17085,641154
"Jack Flaherty","DET",0,3,0,8,8,48.2,11.650685540326553,1.1095890990787192,1.2945206155918392,0.33043478260869563,0.70135747,0.446280991,0.194444444,94.02645106403374,3.883561846775517,2.99,2.9620921930870385,2.131844118599675,1.089546799659729,"Jack Flaherty",17479,656427
"Corbin Burnes","BAL",3,2,0,9,9,53.2,8.217391693749834,2.3478261982142383,1.0062112278061022,0.24113475177304963,0.81140351,0.51369863,0.130434782,,2.6832299408162723,2.9,3.536413670945631,3.2876307438907557,1.0409339666366577,"Corbin Burnes",19361,669203
"Bailey Ober","MIN",4,1,0,8,8,43,9.418604651162791,1.6744186046511629,1.0465116279069768,0.23809523809523808,0.65625,0.3,0.087719298,92.08858647520243,3.7674418604651163,3.2,3.1729873912278994,3.5243387876901515,1.0174283981323242,"Bailey Ober",21224,641927
"Emmanuel Clase","CLE",2,1,13,23,0,22.1,9.268657244136142,0.8059701951422731,0,0.22641509433962265,0.78571429,0.538461538,0,,0.40298509757113654,2.39,1.3354308852269827,2.0905741494113803,0.9849352836608887,"Emmanuel Clase",21032,661403
"Clarke Schmidt","NYY",5,1,0,9,9,50.2,9.769737332481451,2.664473817949487,0.8881579393164956,0.29838709677419356,0.85454545,0.379844961,0.102040816,,2.4868422300861877,3.71,3.4225284097597553,3.4988086740961255,0.9285654425621033,"Clarke Schmidt",19899,657376
