Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",5,3,0,10,10,60.2,10.532967474506398,2.81868143683974,0.5934066182820505,0.24489795918367346,0.72695035,0.44,0.076923076,95.32530223540147,2.521978127698715,2.65,2.7308713511328895,3.0783617423594016,1.8451085090637207,"Zack Wheeler",10310,554430
"Dylan Cease","SDP",5,3,0,9,9,55,11.127272727272727,2.7818181818181817,0.4909090909090909,0.19327731092436976,0.65326633,0.358333333,0.049180327,97.0848647992228,2.4545454545454546,2.65,2.3446575815027413,3.1942890688776973,1.825237512588501,"Dylan Cease",18525,656302
"Tyler Glasnow","LAD",6,2,0,10,10,62,11.758064516129032,2.3225806451612905,0.8709677419354839,0.24817518248175183,0.75630252,0.44680851,0.127659574,96.47972994215291,2.903225806451613,2.55,2.5458306020306005,2.3531540803130597,1.7805705070495605,"Tyler Glasnow",14374,607192
"Ranger Suárez","PHI",8,0,0,9,9,59,8.847457627118644,1.5254237288135593,0.6101694915254238,0.2152777777777778,0.87264151,0.571428571,0.108108108,92.5339111328125,1.3728813559322033,2.3,2.7027469497616012,2.7027469711030947,1.7780598402023315,"Ranger Suarez",17277,624133
"Shota Imanaga","CHC",5,0,0,8,8,46.2,9.835714821718206,1.5428572269361893,0.578571460101071,0.2727272727272727,0.92964824,0.360655737,0.052631578,92.56761116293532,0.9642857668351182,2.59,2.2907614320638205,3.171649552522917,1.6191362142562866,"Shota Imanaga",33829,684007
"Hunter Greene","CIN",2,2,0,9,9,52.1,9.974522535348942,3.7834395823737363,0.5159235794146004,0.2846153846153846,0.74840764,0.358778625,0.05,98.05339056324111,3.267516002959136,2.65,3.20290888619716,4.068978837804504,1.5293556451797485,"Hunter Greene",22182,668881
"Chris Sale","ATL",6,1,0,8,8,49.2,11.053691841160914,1.4496645037588083,0.7248322518794041,0.2711864406779661,0.80188679,0.504132231,0.108108108,95.00019256161971,2.5369128815779147,2.57,2.4419119698792633,2.4419119952312407,1.489851474761963,"Chris Sale",10603,519242
"Logan Webb","SFG",4,4,0,10,10,59.1,7.129213635931414,2.5786517406560434,0.30337079301835806,0.3333333333333333,0.75757576,0.583783783,0.058823529,92.51810709635417,3.0337079301835805,4.84,2.9410825009208152,3.3082249516121287,1.2449702024459839,"Logan Webb",17995,657277
"Javier Assad","CHC",4,0,0,9,9,48.1,7.820689860921132,2.7931035217575473,0.37241380290100634,0.2462686567164179,0.87136929,0.458646616,0.037735849,92.39332932692308,1.4896552116040254,3.08,2.9195792061536974,3.92274795578941,1.2187533378601074,"Javier Assad",21741,665871
"Trevor Williams","WSN",4,0,0,8,8,41.2,6.9120004218750255,2.808000171386729,0.21600001318359455,0.25862068965517243,0.77464789,0.487179487,0.024390243,89.60497205010776,1.944000118652351,3.31,2.838475745742797,3.9093947635119592,1.1645687818527222,"Trevor Williams",16977,592866
"Brandon Pfaadt","ARI",1,3,0,9,9,54,8.5,1.6666666666666667,1,0.2838709677419355,0.63432836,0.398734177,0.092307692,93.00018201164875,4.166666666666667,3.06,3.3486979855431454,3.59594527375367,1.1279226541519165,"Brandon Pfaadt",27782,694297
"Nick Martinez","CIN",1,2,0,10,4,38.1,6.808695878027074,1.1739130824184612,0.46956523296738445,0.30952380952380953,0.61946903,0.325396825,0.035714285,92.64251063897358,4.22608709670646,3.24,2.839519232063077,4.214372441367164,1.1249372363090515,"Nick Martinez",12730,607259
"Cristopher Sánchez","PHI",2,3,0,8,8,42,8.357142857142858,3.857142857142857,0.21428571428571427,0.34375,0.68181818,0.59375,0.037037037,,3.4285714285714284,3.98,2.864571001416161,3.458522117244346,1.1163049936294556,"Cristopher Sanchez",20778,650911
"Aaron Nola","PHI",5,2,0,9,9,58,8.53448275862069,2.3275862068965516,1.0862068965517242,0.2645161290322581,0.78947368,0.440993788,0.129629629,91.83697539251207,3.103448275862069,3.61,3.5747516253898883,3.314267034520363,1.1132773160934448,"Aaron Nola",16149,605400
